DocIndex	BiDocProb	TriDocProb	DocScore	DocType
0	-9.29633843538	-10.4766024388	34	8
1	-8.88021231094	-10.2961108319	46	8
2	-9.59193602374	-10.8762215564	40	8
3	-10.6953562601	-11.0534717896	30	8
4	-11.5286740085	-11.3737465638	26	8
5	-9.91780397761	-10.8124741211	40	8
6	-9.21880826498	-10.4962947309	40	8
7	-8.67269353582	-10.0170189398	34	8
8	-9.63966024265	-10.641796217	41	8
9	-8.90595085422	-10.1738706014	40	8
10	-9.76694578241	-10.6871310064	31	8
11	-10.6521594388	-11.0124306725	44	8
12	-10.1213959707	-10.7658319124	31	8
13	-10.1300707885	-10.8739977677	36	8
14	-9.61940725541	-10.7262716203	43	8
15	-10.111199054	-10.9738435426	20	8
16	-10.0607914178	-10.8946031168	45	8
17	-10.0551381184	-10.8021816106	40	8
18	-9.50860099584	-10.7565983332	30	8
19	-8.79431124623	-10.1276157011	35	8
20	-9.57895860282	-10.6636902921	40	8
21	-9.62343606541	-10.4587754173	42	8
22	-9.74364745047	-10.8356941447	34	8
23	-9.65778495277	-10.5780522311	33	8
24	-10.1329804519	-11.0056181841	38	8
25	-9.52443697518	-10.6419839509	36	8
26	-9.27353469179	-10.533324282	45	8
27	-9.44893782648	-10.7964376134	31	8
28	-9.25896618485	-10.5310510736	30	8
29	-9.60155073585	-10.7486090683	34	8
30	-10.3176308405	-10.8937014547	33	8
31	-10.29307742	-10.9712138711	40	8
32	-9.89948425056	-10.6467498345	47	8
33	-9.40209995134	-10.5689393129	30	8
34	-10.0021997464	-10.8582098083	40	8
35	-9.95309775823	-10.8038381481	32	8
36	-9.54886801749	-10.6408065921	40	8
37	-9.31251411559	-10.5319247012	30	8
38	-9.16678937236	-10.3542987597	40	8
39	-9.76940864304	-10.7417283554	45	8
40	-9.51671575967	-10.6967938678	45	8
41	-10.035616003	-10.8615652444	45	8
42	-8.79663041998	-10.3744866692	50	8
43	-9.93912575903	-10.8953594497	39	8
44	-11.2524952213	-11.0830011459	33	8
45	-9.75560138178	-10.6308644032	33	8
46	-9.23340371523	-10.4875469003	34	8
47	-9.53905425498	-10.6176256664	40	8
48	-9.88577357336	-10.8363203797	33	8
49	-10.4771025366	-11.1205374419	33	8
50	-9.66243963835	-10.6968303337	40	8
51	-9.4401688095	-10.6010283078	36	8
52	-9.82747261752	-10.709672312	37	8
53	-8.88352281277	-10.3265045866	40	8
54	-9.1260741415	-10.4446575353	33	8
55	-9.0991961159	-10.3823109	37	8
56	-10.0861712939	-10.7625501791	42	8
57	-9.49496543733	-10.6554048628	40	8
58	-8.76038289794	-10.1215501501	40	8
59	-9.82080617932	-10.5314369395	38	8
60	-9.24321562529	-10.4595312086	31	8
61	-9.56132946668	-10.6339051788	42	8
62	-9.85370232464	-10.7708681976	40	8
63	-9.56570857565	-10.6656520165	35	8
64	-8.89045705947	-10.2972607433	35	8
65	-10.7085510131	-10.9619469338	33	8
66	-9.9715479555	-10.7501895455	33	8
67	-9.32624130333	-10.5584556901	30	8
68	-9.76333705336	-10.6961584512	37	8
69	-9.68572245808	-10.7046573157	40	8
70	-9.38251366412	-10.4589611076	40	8
71	-10.0274609605	-10.7207476441	35	8
72	-9.51960474386	-10.5883793387	35	8
73	-9.43855166447	-10.4891580796	31	8
74	-9.95078361278	-10.8329804936	40	8
75	-9.31429161016	-10.5576923693	40	8
76	-9.4210076562	-10.6161202047	36	8
77	-9.06815896416	-10.3844643641	32	8
78	-10.5950833811	-11.0976001296	31	8
79	-9.47651340313	-10.7434531882	30	8
80	-10.1809873559	-10.8263616148	32	8
81	-8.80004034143	-10.0458612716	30	8
82	-9.37453848087	-10.6127765469	55	8
83	-9.20040867935	-10.5645001037	45	8
84	-8.9804824476	-10.383033447	41	8
85	-9.84464696091	-10.8456533113	45	8
86	-10.2909398479	-11.3978427974	33	8
87	-10.2846389177	-11.0450282686	60	8
88	-9.78122651936	-10.6957990587	45	8
89	-9.41236661419	-10.4429316688	28	8
90	-9.75960438368	-10.6041604814	49	8
91	-9.81149842488	-10.576592665	33	8
92	-10.0591086761	-10.9536052617	29	8
93	-9.50299914485	-10.5118462045	36	8
94	-8.32667005732	-10.0638318945	40	8
95	-9.94772562873	-10.8414224064	40	8
96	-9.46160706573	-10.6996675327	40	8
97	-9.59694791212	-10.6092545619	27	8
98	-8.95361781698	-10.6091041623	24	8
99	-9.61678767381	-10.6327868434	32	8
