DocIndex	DocProb	DocScore	DocType
690	-9.5106804649	39	8
148	-10.1572380906	30	8
154	-10.0229527072	32	8
444	-9.92654756878	40	8
460	-9.22458097312	49	8
566	-9.15783538395	30	8
531	-8.54267923687	38	8
663	-9.77409947158	33	8
413	-9.29114738467	40	8
169	-9.21830097583	47	8
525	-8.83213566362	37	8
569	-9.33165230107	50	8
283	-9.62437290603	40	8
459	-8.70569481174	46	8
362	-9.59636648562	45	8
218	-8.98104152101	36	8
705	-8.83222261927	40	8
364	-10.1566039152	40	8
551	-10.4647880088	33	8
420	-9.69836195779	37	8
112	-9.73124931806	36	8
448	-10.6543108875	40	8
33	-9.40209995134	30	8
502	-8.87079983249	47	8
475	-9.57439503898	46	8
105	-9.90052850878	30	8
495	-9.94212520791	30	8
699	-9.21144742883	40	8
393	-10.3679435047	31	8
1	-8.88021231094	46	8
