DocIndex	DocProb	DocScore	DocType
652	-11.8520339939	45	8
476	-11.6421103047	30	8
324	-11.7225326136	33	8
431	-12.4831416096	40	8
709	-12.5689815011	40	8
323	-12.539154154	48	8
239	-11.7647344153	40	8
426	-11.8569227507	34	8
351	-12.4301316069	35	8
23	-12.1467573666	33	8
327	-12.9044083976	43	8
613	-12.2996848472	36	8
453	-12.6216971149	40	8
20	-12.0046268589	40	8
530	-11.9490163831	40	8
628	-12.323044327	45	8
443	-11.0371155949	38	8
366	-11.6875079584	39	8
130	-11.8231493796	38	8
140	-13.1919380641	40	8
553	-11.4156601864	32	8
220	-11.580440732	45	8
198	-12.4310315624	40	8
106	-11.2744268264	44	8
306	-11.8179086271	46	8
353	-12.4032161507	34	8
212	-12.8950458221	40	8
421	-12.2861552659	26	8
203	-11.3472767208	36	8
27	-12.2539441928	31	8
