DocIndex	DocProb	DocScore	DocType
8107	-11.4407968514	3	5
2679	-11.8085973531	5	2
1004	-11.3248822955	8	1
7602	-9.95168310017	4	5
4630	-11.939172611	3	3
7998	-13.2028759027	3	5
519	-11.6135261714	7	1
5679	-11.3164007419	1	4
7627	-12.1254837919	3	5
8216	-11.6767693393	3	5
4685	-10.3578647182	3	3
7985	-10.8951231925	2	5
3793	-12.6185471189	0	3
10348	-11.9055413009	4	6
3673	-10.8177983557	2	3
8292	-11.2917419313	3	5
38	-11.7808365761	8	1
1981	-11.8463414033	4	2
5469	-11.2321751826	2	4
1653	-11.6818101237	8	1
