Doc ID	Doc Type	Score	Len Chars	Len Words	Len Sents	Sents Len Chars	Sents Len Words
1	1	8	1877	17	388	109.529411765	22.8235294118
2	1	9	2290	21	466	108.142857143	22.1904761905
3	1	7	1543	15	315	102.0	21.0
4	1	10	3170	28	617	112.321428571	22.0357142857
5	1	8	2571	31	519	82.0	16.7419354839
6	1	8	1278	16	275	79.0	17.1875
7	1	10	2810	31	582	89.7096774194	18.7741935484
8	1	10	2726	40	558	67.225	13.95
9	1	9	2407	36	517	65.9166666667	14.3611111111
10	1	9	2634	27	563	96.6296296296	20.8518518519
11	1	8	1965	23	375	84.5217391304	16.3043478261
12	1	8	2182	25	435	86.32	17.4
13	1	7	1007	6	211	167.0	35.1666666667
14	1	6	1618	25	332	63.76	13.28
15	1	6	993	14	199	70.0714285714	14.2142857143
16	1	12	3172	36	609	87.1944444444	16.9166666667
17	1	8	1806	19	387	94.1578947368	20.3684210526
18	1	8	1961	16	422	121.6875	26.375
19	1	4	362	7	72	50.8571428571	10.2857142857
20	1	6	870	12	183	71.6666666667	15.25
21	1	8	2051	21	407	96.7619047619	19.380952381
22	1	3	317	2	59	158.0	29.5
23	1	10	2880	31	595	91.9677419355	19.1935483871
24	1	11	3225	40	682	79.7	17.05
25	1	8	1675	17	327	97.6470588235	19.2352941176
26	1	9	2010	23	435	86.5217391304	18.9130434783
27	1	4	652	8	140	80.75	17.5
28	1	9	2048	29	409	69.6896551724	14.1034482759
29	1	9	2064	24	434	85.0833333333	18.0833333333
30	1	8	1423	16	287	88.0625	17.9375
31	1	10	2613	35	582	73.7714285714	16.6285714286
32	1	10	2774	37	594	74.0810810811	16.0540540541
33	1	6	919	13	193	69.8461538462	14.8461538462
34	1	8	1880	27	418	68.7037037037	15.4814814815
35	1	9	2285	34	475	66.2647058824	13.9705882353
36	1	10	3019	25	641	119.84	25.64
37	1	12	2656	32	556	82.0625	17.375
38	1	8	1872	18	383	103.111111111	21.2777777778
39	1	10	2389	23	482	102.956521739	20.9565217391
40	1	7	1024	16	217	63.125	13.5625
41	1	2	220	3	44	72.6666666667	14.6666666667
42	1	8	1482	14	304	104.928571429	21.7142857143
43	1	6	778	9	157	85.6666666667	17.4444444444
44	1	8	1638	29	360	55.5517241379	12.4137931034
45	1	8	1712	21	373	80.619047619	17.7619047619
46	1	8	1632	12	327	135.166666667	27.25
47	1	8	1645	19	343	85.6842105263	18.0526315789
48	1	11	2856	34	630	83.0882352941	18.5294117647
49	1	6	1805	28	352	63.5357142857	12.5714285714
50	1	5	474	4	89	117.75	22.25
51	1	9	2793	14	605	198.642857143	43.2142857143
52	1	7	1325	16	265	81.9375	16.5625
53	1	8	2220	28	493	78.3571428571	17.6071428571
54	1	10	2304	31	489	73.3870967742	15.7741935484
55	1	8	1365	12	262	112.916666667	21.8333333333
56	1	10	2879	23	507	124.260869565	22.0434782609
57	1	9	1725	24	335	70.9583333333	13.9583333333
58	1	7	1083	15	233	71.4	15.5333333333
59	1	8	2473	23	493	106.608695652	21.4347826087
60	1	4	413	7	82	58.2857142857	11.7142857143
61	1	8	1683	24	339	69.2083333333	14.125
62	1	8	1503	15	316	99.3333333333	21.0666666667
63	1	8	1596	18	328	87.7777777778	18.2222222222
64	1	7	1115	6	234	185.0	39.0
65	1	9	2318	25	476	91.8	19.04
66	1	9	2116	26	417	80.4615384615	16.0384615385
67	1	8	1630	21	331	76.7142857143	15.7619047619
68	1	9	2223	34	462	64.4411764706	13.5882352941
69	1	7	1258	19	283	65.3157894737	14.8947368421
70	1	12	2541	29	517	86.6896551724	17.8275862069
71	1	10	2403	22	487	108.318181818	22.1363636364
72	1	10	3227	26	617	123.269230769	23.7307692308
73	1	8	2179	21	484	103.0	23.0476190476
74	1	7	1661	30	362	54.4333333333	12.0666666667
75	1	8	2052	22	393	92.3636363636	17.8636363636
76	1	8	1801	20	378	89.25	18.9
77	1	10	3018	48	617	61.8958333333	12.8541666667
78	1	10	2406	33	554	72.1212121212	16.7878787879
79	1	10	2023	19	427	105.578947368	22.4736842105
80	1	8	2342	22	472	105.545454545	21.4545454545
81	1	8	1926	17	413	112.411764706	24.2941176471
